IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
I14      35.74   20.70   39.73   52.61   63.48  -38.50   74.24  328.77
I15      58.36   57.78    7.31   80.62    6.54   77.42   77.69   85.17
I16       4.09    4.34    3.82   24.77   -1.30   -1.54    2.01  229.88
I17      26.95   16.50    4.67   47.63   52.71   32.92   62.14   31.98
I18      10.57   18.17    5.70   49.70  -43.83   31.19   53.79  144.57
I19       8.05    6.16   26.14   29.82   21.04  -57.36   61.09  290.14
I20      33.78   32.24   22.10   63.54    9.68    8.20   12.69   40.28
I21      28.84   26.01   18.18   58.04   15.28    6.83   16.73   24.09
I22      36.95   32.28   22.95   63.57   20.25    6.61   21.30   18.09
J01       2.25    2.01    3.19   15.51    6.99  -13.32   15.04  297.68
J02       2.49    2.03    5.34   15.63   11.44  -25.78   28.20  293.94
J03       2.90    2.10    8.56   16.03   17.54  -38.78   42.56  294.33
J04       3.25    2.10   12.40   15.99   23.69  -51.18   56.40  294.83
J05      11.25   10.80   12.31   39.24    6.27  -10.85   12.52  300.01
J06      12.39   11.18   16.75   39.89   11.46  -21.22   24.11  298.38
J07      12.95   11.14   21.10   39.81   15.50  -30.74   34.42  296.76
J08      13.87   11.20   26.74   39.91   21.03  -41.01   46.08  297.15
J09      39.95   40.31   38.18   69.69    3.44   -6.99    7.79  296.21
J10      40.37   40.14   41.77   69.57    5.29  -11.91   13.03  293.97
J11      41.58   40.35   46.63   69.72    8.36  -17.61   19.49  295.39
J12      42.64   40.38   49.70   69.74   11.42  -21.13   24.02  298.39
J13      14.74   23.15   38.88   55.23  -39.59  -32.87   51.46  219.70
J14      32.79   17.81   36.83   49.27   67.73  -40.36   78.84  329.21
J15      56.55   55.21    5.44   79.17    8.41   83.26   83.68   84.23
J16       2.52    2.69    2.41   18.74   -1.34   -1.66    2.13  231.19
J17      24.41   14.18    3.26   44.49   55.60   36.17   66.33   33.04
J18       8.07   14.91    4.27   45.51  -46.36   31.51   56.06  145.80
J19       5.63    4.26   20.24   24.53   19.36  -55.35   58.64  289.27
J20      23.38   21.17    9.02   53.13   13.88   23.55   27.33   59.49
J21      18.72   15.81    6.34   46.71   19.23   23.10   30.06   50.22
J22      24.79   20.11    8.82   51.96   25.04   22.23   33.48   41.60
K01       5.44    4.48    5.36   25.18   14.24   -9.40   17.06  326.58
K02       7.11    4.74    7.59   25.99   28.64  -17.90   33.77  328.00
K03       9.34    5.45   10.34   27.99   40.09  -24.25   46.85  328.83
K04       9.70    5.60   10.69   28.37   41.29  -24.71   48.12  329.11
K05      16.16   14.59   15.38   45.06   12.49   -8.98   15.38  324.30
K06      18.47   14.71   19.19   45.23   24.36  -17.44   29.95  324.41
K07      20.37   14.59   22.97   45.07   34.59  -25.31   42.86  323.80
K08      22.83   14.38   28.08   44.77   47.40  -34.88   58.85  323.66
K09      41.58   40.47   37.83   69.80    7.98   -6.32   10.18  321.60
K10      42.92   39.80   40.78   69.32   14.06  -11.06   17.89  321.81
K11      46.91   41.52   45.22   70.54   20.29  -14.51   24.94  324.43
