IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
GS3      55.15   57.01   46.73   80.18    0.53    0.32    0.62   31.12
GS4      46.88   48.46   40.50   75.11    0.50   -0.71    0.87  305.15
GS5      40.33   41.82   35.37   70.75    0.08   -1.28    1.28  273.58
GS6      33.84   35.21   30.16   65.91   -0.34   -1.82    1.85  259.42
GS7      28.92   30.08   26.02   61.72   -0.27   -2.15    2.17  262.84
GS8      23.93   24.84   21.69   56.92   -0.03   -2.44    2.44  269.30
GS9      20.93   21.72   19.23   53.73   -0.01   -2.89    2.89  269.80
GS10     17.41   18.07   16.13   49.58   -0.02   -3.03    3.03  269.62
GS11     14.34   14.81   13.42   45.38    0.41   -3.39    3.41  276.90
GS12     12.18   12.55   11.49   42.08    0.56   -3.56    3.60  278.94
GS13      9.70   10.05    9.31   37.93    0.11   -3.68    3.68  271.71
GS14      8.08    8.39    7.79   34.79   -0.06   -3.54    3.54  269.03
GS15      6.43    6.68    6.36   31.07   -0.12   -3.99    3.99  268.28
GS16      5.00    5.22    5.09   27.36   -0.42   -4.30    4.32  264.42
GS17      3.73    3.92    3.91   23.42   -0.70   -4.44    4.49  261.04
GS18      2.77    2.92    2.96   19.72   -0.87   -4.36    4.45  258.72
GS19      1.95    2.05    2.11   15.76   -0.55   -4.20    4.24  262.54
GS20      1.39    1.48    1.51   12.49   -1.00   -3.65    3.78  254.68
GS21      0.77    0.85    0.90    7.65   -1.94   -3.57    4.06  241.48
GS22      0.36    0.46    0.59    4.18   -3.34   -3.96    5.18  229.85
Dmax      0.36    0.46    0.56    4.14   -3.30   -3.50    4.81  226.68
END_DATA
