IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
K16       0.93    0.98    0.90    8.86    0.21   -1.54    1.55  277.77
K17      26.21   13.08    1.39   42.88   71.14   50.28   87.11   35.25
K18       7.84   18.18    3.21   49.72  -65.63   45.51   79.87  145.26
K19       4.76    1.98   23.67   15.38   49.21  -77.84   92.09  302.30
K20      16.34   15.30    7.43   46.05   10.27   17.32   20.14   59.33
K21      22.52   20.27   10.66   52.14   15.25   16.35   22.36   46.99
K22      17.77   15.07    7.33   45.74   19.50   17.18   25.99   41.38
L01       2.11    1.79    1.58   14.33   10.09   -1.26   10.17  352.88
L02       2.67    1.81    1.79   14.45   20.98   -3.27   21.23  351.14
L03       3.17    1.79    1.99   14.36   30.40   -5.49   30.89  349.76
L04       4.31    2.12    2.78   16.12   40.01   -9.25   41.07  346.98
L05       7.27    6.09    5.74   29.63   15.60   -3.63   16.02  346.90
L06       8.85    5.88    6.35   29.11   32.09   -7.32   32.91  347.15
L07      11.07    5.94    6.84   29.25   48.98   -9.22   49.84  349.34
L08      13.73    6.14    7.52   29.75   64.93  -11.15   65.88  350.26
L09      23.60   22.50   19.88   54.56    9.67   -2.84   10.08  343.63
L10      25.45   22.10   20.49   54.13   19.48   -4.83   20.07  346.07
L11      29.52   23.17   21.88   55.25   30.94   -5.68   31.46  349.60
L12      34.29   23.62   23.95   55.70   46.24   -8.83   47.08  349.19
L13      12.61   23.40   41.91   55.48  -53.30  -36.37   64.53  214.31
L14      28.72   11.77   32.10   40.85   89.92  -48.03  101.94  331.89
L15      70.60   71.48    3.72   87.72    4.67  107.63  107.73   87.52
L16       0.46    0.46    0.47    4.17    1.59   -1.78    2.39  311.77
L17      22.80   10.80    0.69   39.24   72.12   54.53   90.41   37.09
L18       5.96   14.95    2.32   45.57  -66.66   45.35   80.62  145.77
L19       3.76    1.23   19.61   10.76   55.26  -77.79   95.42  305.39
L20      21.73   20.47   12.25   52.37   10.61   11.95   15.98   48.40
L21      17.43   15.40    9.00   46.17   15.75   11.60   19.56   36.37
L22      23.73   20.27   12.02   52.14   20.68   12.22   24.02   30.58
Dmin     75.06   78.66   63.01   91.08   -0.52    1.76    1.84  106.46
GS1      62.62   65.91   53.49   84.95   -1.07    0.91    1.40  139.62
GS2      55.06   58.09   47.45   80.79   -1.32    0.52    1.42  158.50
GS3      46.36   49.01   39.87   75.46   -1.45    0.70    1.61  154.23
GS4      38.76   41.09   33.32   70.24   -1.66    0.82    1.85  153.71
GS5      32.60   34.63   28.05   65.46   -1.76    0.83    1.95  154.75
GS6      27.67   29.35   23.88   61.09   -1.46    0.58    1.57  158.33
GS7      23.51   24.91   20.40   56.98   -1.18    0.27    1.21  167.11
GS8      19.06   20.26   16.70   52.13   -1.32    0.00    1.32  180.00
GS9      16.39   17.41   14.40   48.77   -1.16   -0.12    1.17  185.91
GS10     13.54   14.35   11.93   44.73   -0.86   -0.28    0.90  198.03
GS11     11.01   11.67    9.63   40.69   -0.75   -0.03    0.75  182.29
GS12      9.31    9.85    8.12   37.57   -0.48   -0.01    0.48  181.19
GS13      7.45    7.88    6.50   33.72   -0.36   -0.04    0.36  186.34
GS14      6.08    6.44    5.39   30.49   -0.29   -0.42    0.51  235.38
GS15      4.82    5.06    4.24   26.90    0.26   -0.41    0.49  302.38
GS16      3.68    3.88    3.24   23.26    0.18   -0.31    0.36  300.14
GS17      2.69    2.83    2.38   19.36    0.22   -0.39    0.45  299.43
GS18      2.00    2.08    1.78   15.89    0.91   -0.71    1.15  322.04
GS19      1.26    1.33    1.13   11.51    0.26   -0.38    0.46  304.38
GS20      0.89    0.95    0.85    8.53    0.22   -1.27    1.29  279.83
GS21      0.57    0.60    0.52    5.39    0.68   -0.50    0.84  323.67
GS22      0.34    0.33    0.33    3.00    1.85   -1.11    2.16  329.04
Dmax      0.35    0.33    0.37    3.01    2.35   -1.85    2.99  321.79
END_DATA

